time	< One Minute	< Five Minutes	< Thirty Minutes	< One Hour	< Six Hours	< One Day	> One Day
1498247206.34	10.0	24.0	25.0	41.0	0.0	0.0	0.0
1498249006.34	13.0	21.0	66.0	0.0	0.0	0.0	0.0
1498250806.34	11.0	24.0	40.0	25.0	0.0	0.0	0.0
1498252606.34	9.0	23.0	63.0	5.0	0.0	0.0	0.0
1498254406.34	10.0	21.0	47.0	22.0	0.0	0.0	0.0
1498256206.34	11.0	19.0	65.0	5.0	0.0	0.0	0.0
1498258006.34	11.0	27.0	45.0	17.0	0.0	0.0	0.0
1498259806.34	8.0	27.0	49.0	16.0	0.0	0.0	0.0
1498261606.34	8.0	24.0	58.0	10.0	0.0	0.0	0.0
1498263406.34	11.0	21.0	51.0	17.0	0.0	0.0	0.0
1498265206.34	10.0	26.0	53.0	11.0	0.0	0.0	0.0
1498267006.34	10.0	26.0	56.0	8.0	0.0	0.0	0.0
1498268806.34	11.0	21.0	48.0	20.0	0.0	0.0	0.0
1498270606.34	12.0	27.0	50.0	11.0	0.0	0.0	0.0
1498272406.34	9.0	25.0	48.0	18.0	0.0	0.0	0.0
1498274206.34	9.0	22.0	56.0	13.0	0.0	0.0	0.0
1498276006.34	8.0	23.0	58.0	11.0	0.0	0.0	0.0
1498277806.34	9.0	29.0	49.0	13.0	0.0	0.0	0.0
1498279606.34	13.0	28.0	50.0	9.0	0.0	0.0	0.0
1498281406.34	11.0	22.0	48.0	19.0	0.0	0.0	0.0
1498283206.34	17.0	21.0	50.0	12.0	0.0	0.0	0.0
1498285006.34	15.0	24.0	47.0	14.0	0.0	0.0	0.0
1498286806.34	15.0	24.0	46.0	15.0	0.0	0.0	0.0
1498288606.34	12.0	32.0	45.0	11.0	0.0	0.0	0.0
1498290406.34	9.0	26.0	47.0	18.0	0.0	0.0	0.0
1498292206.34	10.0	24.0	58.0	8.0	0.0	0.0	0.0
1498294006.34	13.0	23.0	46.0	18.0	0.0	0.0	0.0
1498295806.34	10.0	22.0	54.0	14.0	0.0	0.0	0.0
1498297606.34	11.0	24.0	53.0	12.0	0.0	0.0	0.0
1498299406.34	13.0	21.0	51.0	15.0	0.0	0.0	0.0
1498301206.34	13.0	19.0	56.0	12.0	0.0	0.0	0.0
1498303006.34	10.0	20.0	54.0	16.0	0.0	0.0	0.0
1498304806.34	9.0	17.0	64.0	10.0	0.0	0.0	0.0
1498306606.34	12.0	15.0	59.0	14.0	0.0	0.0	0.0
1498308406.34	11.0	21.0	54.0	14.0	0.0	0.0	0.0
1498310206.34	10.0	29.0	53.0	8.0	0.0	0.0	0.0
1498312006.34	13.0	19.0	48.0	20.0	0.0	0.0	0.0
1498313806.34	15.0	26.0	51.0	8.0	0.0	0.0	0.0
1498315606.34	11.0	25.0	46.0	18.0	0.0	0.0	0.0
1498317406.34	11.0	24.0	54.0	11.0	0.0	0.0	0.0
1498319206.34	14.0	16.0	51.0	19.0	0.0	0.0	0.0
1498321006.34	10.0	27.0	54.0	9.0	0.0	0.0	0.0
1498322806.34	14.0	23.0	46.0	17.0	0.0	0.0	0.0
1498324606.34	11.0	23.0	53.0	13.0	0.0	0.0	0.0
1498326406.34	11.0	23.0	53.0	13.0	0.0	0.0	0.0
1498328206.34	14.0	22.0	49.0	15.0	0.0	0.0	0.0
1498330006.34	13.0	26.0	47.0	14.0	0.0	0.0	0.0
